#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/,STL/,Season
136,Shatori Walker-Kimbrough,41,354,71,26,63,41.3,11,31,35.5,8,11,72.7,3,34,37,22,10,11,15,24,96,1.47,0.67,2016
136,Sydney Colson,30,404,71,26,76,34.2,13,47,27.7,6,7,85.7,7,18,25,60,15,6,35,34,91,1.71,0.43,2016
138,Haley Peters,33,380,68,25,82,30.5,8,39,20.5,10,13,76.9,25,49,74,25,11,3,22,50,99,1.14,0.5,2016
139,Chloe Bibby,14,154,67,21,55,38.2,17,42,40.5,8,9,88.9,5,20,25,7,8,1,7,13,66,1,1.14,2016
140,Grace Berger,19,418,64,26,89,29.2,2,23,8.7,10,15,66.7,12,51,63,58,14,7,21,37,117,2.76,0.67,2016
141,Megan Gustafson,20,226,60,20,57,35.1,13,39,33.3,7,15,46.7,8,28,36,5,3,6,6,42,59,0.83,0.5,2016
142,Karlie Samuelson,16,228,53,14,42,33.3,12,34,35.3,13,14,92.9,3,17,20,17,6,1,11,26,57,1.55,0.55,2016
143,Lexie Brown,24,227,51,17,48,35.4,10,37,27,7,10,70,2,15,17,23,9,1,6,20,61,3.83,1.5,2016
144,Kaitlyn Chen,24,247,48,19,50,38,5,15,33.3,5,7,71.4,5,17,22,24,5,0,18,16,48,1.33,0.28,2016
145,Kiana Williams,11,107,45,17,40,42.5,9,26,34.6,2,4,50,0,11,11,10,3,0,6,6,38,1.67,0.5,2016
146,Kiah Stokes,40,514,44,18,51,35.3,3,23,13,5,8,62.5,29,115,144,17,17,14,16,47,184,1.06,1.06,2016
147,Alissa Pili,19,99,43,13,28,46.4,4,12,33.3,13,15,86.7,4,15,19,3,2,1,8,13,43,0.38,0.25,2016
148,Murjanatu Musa,12,122,40,16,35,45.7,1,2,50,7,11,63.6,18,13,31,7,4,2,7,17,54,1,0.57,2016
149,Liatu King,14,136,38,13,27,48.1,1,6,16.7,11,15,73.3,12,17,29,4,2,0,11,14,44,0.36,0.18,2016
150,Jaelyn Brown,10,131,37,14,37,37.8,8,18,44.4,1,2,50,4,8,12,1,5,2,5,17,28,0.2,1,2016
151,Mamignan Touré,18,147,36,14,39,35.9,8,22,36.4,0,0,0,4,3,7,9,7,0,8,19,26,1.13,0.88,2016
152,Anastasiia Olairi Kosu,21,80,35,13,29,44.8,0,2,0,9,15,60,10,5,15,5,1,4,7,9,31,0.71,0.14,2016
153,Mercedes Russell,20,163,34,12,27,44.4,0,0,0,10,14,71.4,10,14,24,12,5,4,7,17,53,1.71,0.71,2016
154,Brianna Turner,27,233,30,13,32,40.6,0,1,0,4,8,50,18,32,50,17,2,8,9,23,75,1.89,0.22,2016
154,Jaylyn Sherrod,26,142,30,9,28,32.1,3,13,23.1,9,13,69.2,2,13,15,12,11,0,12,19,33,1,0.92,2016
156,Sika Koné,19,85,27,7,22,31.8,1,5,20,12,13,92.3,3,16,19,6,0,0,6,12,30,1,0,2016
157,Kariata Diaby,13,103,25,7,14,50,0,0,0,11,14,78.6,3,10,13,5,6,1,12,19,28,0.42,0.5,2016
157,Rayah Marshall,15,90,25,9,26,34.6,0,1,0,7,12,58.3,7,19,26,4,2,3,7,12,31,0.57,0.29,2016
159,Tyasha Harris,5,82,23,8,18,44.4,5,11,45.5,2,2,100,1,4,5,13,2,2,3,5,32,4.33,0.67,2016
160,Sania Feagin,16,77,20,10,28,35.7,0,4,0,0,2,0,3,8,11,4,0,6,7,16,14,0.57,0,2016
161,Christyn Williams,4,45,17,6,16,37.5,1,4,25,4,6,66.7,2,2,4,3,0,0,1,4,11,3,0,2016
162,Cheyenne Parker-Tyus,2,14,16,5,8,62.5,1,2,50,5,6,83.3,0,2,2,0,0,0,1,2,13,0,0,2016
163,Elizabeth Kitley,12,98,15,7,23,30.4,0,1,0,1,2,50,4,13,17,1,4,6,7,18,19,0.14,0.57,2016
164,Madison Scott,9,47,14,5,11,45.5,0,1,0,4,4,100,1,0,1,2,2,0,1,8,12,2,2,2016
165,Mackenzie Holmes,10,58,10,5,7,71.4,0,0,0,0,0,0,3,6,9,2,5,1,0,7,25,0,0,2016
165,Marquesha Davis,11,52,10,2,10,20,0,4,0,6,7,85.7,3,4,7,1,0,2,6,3,5,0.17,0,2016
167,Joyner Holmes,6,29,7,3,12,25,1,5,20,0,0,0,2,4,6,0,0,0,2,5,2,0,0,2016
167,Moriah Jefferson,5,35,7,3,8,37.5,1,3,33.3,0,0,0,0,5,5,9,0,0,2,3,14,4.5,0,2016
169,Taylor Thierry,17,36,6,2,11,18.2,1,3,33.3,1,4,25,2,4,6,2,4,0,1,1,5,2,4,2016
170,Crystal Bradford,4,24,4,2,6,33.3,0,2,0,0,0,0,2,3,5,1,2,0,1,3,7,1,2,2016
170,Kyara Linskens,4,27,4,2,5,40,0,1,0,0,0,0,1,5,6,1,1,3,2,7,10,0.5,0.5,2016
172,Bree Hall,4,17,3,1,5,20,0,2,0,1,3,33.3,0,3,3,0,0,0,3,4,-3,0,0,2016
172,Camryn Taylor,6,23,3,1,7,14.3,1,3,33.3,0,2,0,2,4,6,1,0,0,3,4,-1,0.33,0,2016
172,Megan McConnell,1,13,3,1,4,25,1,2,50,0,0,0,1,0,1,3,1,0,0,1,5,0,0,2016
175,Alexis Prince,1,22,2,1,3,33.3,0,1,0,0,0,0,0,8,8,1,0,0,3,1,6,0.33,0,2016
175,Robyn Parks,6,63,2,1,5,20,0,4,0,0,0,0,1,8,9,2,2,0,1,7,10,2,2,2016
177,Ajae Petty,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2016
177,Kamiah Smalls,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
177,Kyra Lambert,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
177,Marième Badiane,3,11,0,0,3,0,0,1,0,0,0,0,1,0,1,0,2,0,2,6,-2,0,1,2016
177,Serena Sundell,3,22,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,2,4,-2,0,0,2016
177,Yvonne Anderson,1,12,0,0,3,0,0,1,0,0,0,0,0,1,1,2,2,0,0,3,2,0,0,2016
1,A'ja Wilson,40,1247,937,332,658,50.5,25,59,42.4,248,290,85.5,91,316,407,122,64,92,87,75,1167,1.4,0.74,2017
2,Kelsey Mitchell,44,1381,890,315,691,45.6,111,282,39.4,149,190,78.4,18,59,77,150,39,7,78,88,668,1.92,0.5,2017
3,Kelsey Plum,43,1508,839,261,618,42.2,99,279,35.5,218,244,89.3,10,122,132,247,53,4,131,117,761,1.89,0.41,2017
4,Dearica Hamby,44,1374,811,324,566,57.2,15,54,27.8,148,236,62.7,113,236,349,144,69,21,117,119,947,1.23,0.59,2017
5,Nneka Ogwumike,44,1359,803,320,617,51.9,66,180,36.7,97,118,82.2,59,250,309,99,50,18,85,83,876,1.17,0.59,2017
6,Allisha Gray,42,1451,773,246,546,45.1,98,255,38.4,183,229,79.9,36,187,223,147,45,15,74,109,783,1.99,0.61,2017
7,Napheesa Collier,33,1065,755,275,518,53.1,50,124,40.3,155,171,90.6,62,179,241,105,54,50,70,78,876,1.5,0.77,2017
8,Jackie Young,44,1336,727,260,547,47.5,80,223,35.9,127,142,89.4,52,144,196,226,57,18,98,106,824,2.31,0.58,2017
9,Tina Charles,43,1222,700,260,593,43.8,12,46,26.1,168,196,85.7,62,186,248,74,33,19,82,89,631,0.9,0.4,2017
10,Sabrina Ionescu,38,1194,693,230,573,40.1,81,271,29.9,152,163,93.3,30,155,185,216,48,16,100,63,704,2.16,0.48,2017
11,Paige Bueckers,36,1199,692,259,543,47.7,39,118,33.1,135,152,88.8,25,117,142,194,57,18,72,82,730,2.69,0.79,2017
12,Skylar Diggins,43,1343,667,228,539,42.3,62,170,36.5,149,189,78.8,27,81,108,258,52,35,91,101,678,2.84,0.57,2017
13,Aliyah Boston,44,1327,660,271,504,53.8,6,29,20.7,112,147,76.2,107,254,361,163,52,41,81,136,928,2.01,0.64,2017
14,Sonia Citron,44,1415,657,223,474,47,81,182,44.5,130,149,87.2,29,145,174,104,55,17,91,94,646,1.14,0.6,2017
15,Satou Sabally,39,1039,636,208,515,40.4,67,209,32.1,153,185,82.7,54,177,231,98,49,13,77,115,611,1.27,0.64,2017
16,Alyssa Thomas,39,1221,599,241,453,53.2,0,6,0,117,169,69.2,64,280,344,357,62,17,135,82,980,2.64,0.46,2017
