Rank,Player,Team,Salary_USD,Season
177,Gary Payton II,Golden State Warriors,9130000,2024-25
178,Tre Jones,Chicago Bulls,9104167,2024-25
179,Goga Bitadze,Orlando Magic,9057971,2024-25
180,Zeke Nnaji,Denver Nuggets,8888889,2024-25
181,Keegan Murray,Sacramento Kings,8809560,2024-25
182,Kyle Anderson,Miami Heat,8780488,2024-25
183,Buddy Hield,Golden State Warriors,8780488,2024-25
184,Naji Marshall,Dallas Mavericks,8571429,2024-25
185,Jalen Smith,Chicago Bulls,8571429,2024-25
186,Georges Niang,Atlanta Hawks,8500000,2024-25
187,Ausar Thompson,Detroit Pistons,8376000,2024-25
188,Josh Giddey,Chicago Bulls,8352367,2024-25
189,Josh Okogie,Charlotte Hornets,8250000,2024-25
190,Ronald Holland II,Detroit Pistons,8245320,2024-25
191,Caleb Martin,Dallas Mavericks,8149001,2024-25
192,Cody Martin,Phoenix Suns,8120000,2024-25
193,Trey Lyles,Sacramento Kings,8000000,2024-25
194,Jock Landale,Houston Rockets,8000000,2024-25
195,Jeff Green,Houston Rockets,8000000,2024-25
196,Kevon Looney,Golden State Warriors,8000000,2024-25
197,Kelly Oubre Jr.,Philadelphia 76ers,7983000,2024-25
198,Jaden Ivey,Detroit Pistons,7977240,2024-25
199,KJ Martin,Utah Jazz,7975000,2024-25
200,Vasilije Micic,Phoenix Suns,7723000,2024-25
201,Simone Fontecchio,Detroit Pistons,7692308,2024-25
202,Jonathan Kuminga,Golden State Warriors,7636154,2024-25
203,Anthony Black,Orlando Magic,7607760,2024-25
204,Jae'Sean Tate,Houston Rockets,7565217,2024-25
205,Tidjane Salaun,Charlotte Hornets,7488720,2024-25
206,Bennedict Mathurin,Indiana Pacers,7245720,2024-25
207,Max Christie,Dallas Mavericks,7142857,2024-25
208,Franz Wagner,Orlando Magic,7007092,2024-25
209,Ayo Dosunmu,Chicago Bulls,7000000,2024-25
210,Bilal Coulibaly,Washington Wizards,6945240,2024-25
211,Nassir Little,Miami Heat,6750000,2024-25
212,Gary Harris,Orlando Magic,6730769,2024-25
213,Payton Pritchard,Boston Celtics,6696429,2024-25
214,Kenrich Williams,Oklahoma City Thunder,6669000,2024-25
215,Sasha Vezenkov,Toronto Raptors,6658536,2024-25
216,Shaedon Sharpe,Portland Trail Blazers,6614160,2024-25
217,Donovan Clingan,Portland Trail Blazers,6586440,2024-25
218,Jevon Carter,Chicago Bulls,6500000,2024-25
219,Davion Mitchell,Miami Heat,6451230,2024-25
220,Saddiq Bey,New Orleans Pelicans,6440678,2024-25
221,Jarace Walker,Indiana Pacers,6362520,2024-25
222,Rob Dillingham,Minnesota Timberwolves,6262920,2024-25
223,Dean Wade,Cleveland Cavaliers,6166667,2024-25
224,John Konchar,Memphis Grizzlies,6165000,2024-25
225,Ziaire Williams,Brooklyn Nets,6133005,2024-25
226,Dyson Daniels,Atlanta Hawks,6059520,2024-25
227,Precious Achiuwa,New York Knicks,6000000,2024-25
228,Malik Beasley,Detroit Pistons,6000000,2024-25
229,Chris Duarte,Chicago Bulls,5893768,2024-25
230,Taylor Hendricks,Utah Jazz,5848680,2024-25
231,Moses Moody,Golden State Warriors,5803269,2024-25
232,Zach Edey,Memphis Grizzlies,5756880,2024-25
233,Corey Kispert,Washington Wizards,5705888,2024-25
234,Jeremy Sochan,San Antonio Spurs,5570040,2024-25
235,Cason Wallace,Oklahoma City Thunder,5555880,2024-25
236,Cody Williams,Utah Jazz,5485080,2024-25
237,Alperen Sengun,Houston Rockets,5424654,2024-25
238,Johnny Davis,Washington Wizards,5291160,2024-25
239,Jett Howard,Orlando Magic,5278320,2024-25
240,Haywood Highsmith,Miami Heat,5200000,2024-25
241,Matas Buzelis,Chicago Bulls,5195520,2024-25
242,Kris Dunn,LA Clippers,5168000,2024-25
243,Dario Saric,Denver Nuggets,5168000,2024-25
244,Trey Murphy III,New Orleans Pelicans,5159855,2024-25
245,Ousmane Dieng,Oklahoma City Thunder,5027040,2024-25
246,Dereck Lively II,Dallas Mavericks,5014560,2024-25
247,Nick Richards,Phoenix Suns,5000000,2024-25
248,Andre Drummond,Philadelphia 76ers,5000000,2024-25
249,Drew Eubanks,LA Clippers,5000000,2024-25
250,Nikola Topic,Oklahoma City Thunder,4935960,2024-25
251,Tre Mann,Charlotte Hornets,4908189,2024-25
252,Jalen Williams,Oklahoma City Thunder,4775760,2024-25
253,Gradey Dick,Toronto Raptors,4763760,2024-25
254,Jalen McDaniels,Washington Wizards,4741800,2024-25
255,Miles McBride,New York Knicks,4710144,2024-25
256,Devin Carter,Sacramento Kings,4702800,2024-25
257,Nicolas Batum,LA Clippers,4668000,2024-25
258,Aaron Holiday,Houston Rockets,4668000,2024-25
259,Jalen Duren,Detroit Pistons,4536840,2024-25
260,Jordan Hawkins,New Orleans Pelicans,4525680,2024-25
261,Jalen Johnson,Atlanta Hawks,4510905,2024-25
262,Bub Carrington,Washington Wizards,4454880,2024-25
263,Isaiah Jackson,Indiana Pacers,4435381,2024-25
264,Nickeil Alexander-Walker,Minnesota Timberwolves,4312500,2024-25
265,Ochai Agbaji,Toronto Raptors,4310280,2024-25
266,Kobe Bufkin,Atlanta Hawks,4299000,2024-25
267,Quentin Grimes,Philadelphia 76ers,4296615,2024-25
268,Kel'el Ware,Miami Heat,4231800,2024-25
269,Bones Hyland,Minnesota Timberwolves,4158439,2024-25
270,Mark Williams,Charlotte Hornets,4094280,2024-25
271,Keyonte George,Utah Jazz,4084200,2024-25
272,Cam Thomas,Brooklyn Nets,4041249,2024-25
273,Jared McCain,Philadelphia 76ers,4032240,2024-25
274,Dwight Powell,Dallas Mavericks,4000000,2024-25
275,Day'Ron Sharpe,Brooklyn Nets,3989122,2024-25
276,Santi Aldama,Memphis Grizzlies,3960531,2024-25
277,Amir Coffey,LA Clippers,3938271,2024-25
278,AJ Griffin,Houston Rockets,3889920,2024-25
279,Jalen Hood-Schifino,Philadelphia 76ers,3879840,2024-25
280,Kevin Love,Miami Heat,3850000,2024-25
281,Dalton Knecht,Los Angeles Lakers,3819120,2024-25
282,Tari Eason,Houston Rockets,3695160,2024-25
283,Jaime Jaquez Jr.,Miami Heat,3685800,2024-25
284,Tristan da Silva,Orlando Magic,3628440,2024-25
285,Ja'Kobe Walter,Toronto Raptors,3565000,2024-25
286,Brandin Podziemski,Golden State Warriors,3519960,2024-25
287,Dalen Terry,Chicago Bulls,3510480,2024-25
288,Svi Mykhailiuk,Utah Jazz,3500000,2024-25
289,Cody Zeller,Houston Rockets,3500000,2024-25
290,Cam Whitmore,Houston Rockets,3379080,2024-25
291,Derrick Rose,Memphis Grizzlies,3356271,2024-25
292,Jake LaRavia,Sacramento Kings,3352680,2024-25
293,Jaylon Tyson,Cleveland Cavaliers,3326160,2024-25
294,Eric Gordon,Philadelphia 76ers,3303771,2024-25
295,Cory Joseph,Orlando Magic,3303771,2024-25
296,Russell Westbrook,Denver Nuggets,3303771,2024-25
297,Noah Clowney,Brooklyn Nets,3244080,2024-25
298,Malaki Branham,San Antonio Spurs,3217920,2024-25
299,Yves Missi,New Orleans Pelicans,3202560,2024-25
300,Dante Exum,Dallas Mavericks,3150000,2024-25
301,Dariq Whitehead,Brooklyn Nets,3114240,2024-25
302,Christian Braun,Denver Nuggets,3089640,2024-25
303,Johnny Juzang,Utah Jazz,3087519,2024-25
304,DaRon Holmes II,Denver Nuggets,3065640,2024-25
305,Josh Richardson,Miami Heat,3051153,2024-25
306,Christian Wood,Los Angeles Lakers,3036040,2024-25
307,Kyle Filipowski,Utah Jazz,3000000,2024-25
308,Ajay Mitchell,Oklahoma City Thunder,3000000,2024-25
309,Julian Champagnie,San Antonio Spurs,3000000,2024-25
310,Kris Murray,Portland Trail Blazers,2990040,2024-25
311,Walker Kessler,Utah Jazz,2965920,2024-25
312,Shake Milton,Los Angeles Lakers,2875000,2024-25
313,Olivier-Maxence Prosper,Dallas Mavericks,2869920,2024-25
314,David Roddy,Houston Rockets,2847240,2024-25
315,Torrey Craig,Boston Celtics,2845342,2024-25
